index,cafe_nm,Latitude,Longitude,scores,geometry,coverage_count
4655,수련하다,37.6555078,126.9986914,6.362568576016291,POINT (37.6555078 126.9986914),1
4557,백란,37.6718018,127.00547790000002,5.425226572087682,POINT (37.6718018 127.00547790000002),1
15639,아트아프리카,37.6613462,127.0071815,4.151249211370481,POINT (37.6613462 127.0071815),2
16480,단발머리언니카페,37.6543348,127.0113093,4.031998340933157,POINT (37.6543348 127.0113093),8
14070,카페네꼬,37.6523894,127.0135563,3.846913799908141,POINT (37.6523894 127.0135563),20
12427,산로스터스,37.6669105,127.00991840000002,3.75674034065459,POINT (37.6669105 127.00991840000002),2
13735,말리에프엔디,37.5612536,126.9853416,3.7555997292552696,POINT (37.5612536 126.9853416),42
7458,서록다원,37.663222600000005,127.0095933,3.5939555477856024,POINT (37.663222600000005 127.0095933),5
16351,카페니모메,37.6498222,127.01257040000002,3.462534409818165,POINT (37.6498222 127.01257040000002),18
14054,이브릭,37.6466284,127.0077853,3.431674983671425,POINT (37.6466284 127.0077853),14
7768,이디야솔밭공원역점,37.6560474,127.0135419,3.387446994462436,POINT (37.6560474 127.0135419),11
1915,카페인,37.6436742,127.00257820000002,3.386736384005405,POINT (37.6436742 127.00257820000002),6
18285,희희케이크,37.6473972,127.0113447,3.2916625644233557,POINT (37.6473972 127.0113447),11
4435,도노커피배롱나무카페,37.5634474,126.98374979999998,3.284617229573604,POINT (37.5634474 126.98374979999998),59
16119,우이163,37.659283,127.01256979999998,3.2768803776091557,POINT (37.659283 127.01256979999998),1
14197,성북동350,37.5942558,126.9881549,3.240671495264506,POINT (37.5942558 126.9881549),2
20440,이디야북한산점,37.6447538,127.0055893,3.15839161326772,POINT (37.6447538 127.0055893),11
11934,엘까페씨또바,37.5527444,127.0082844,3.12194120682312,POINT (37.5527444 127.0082844),17
14177,온바로,37.6049652,127.0505716,3.059149081068033,POINT (37.6049652 127.0505716),4
12344,커피지인,37.5967553,126.992798,3.0388043525062973,POINT (37.5967553 126.992798),6
19803,학산테라로사커피청계광장지점,37.5688149,126.9782094,3.026983254249484,POINT (37.5688149 126.9782094),60
2098,아이스프링카페,37.5764547,126.9362736,3.0129867425611723,POINT (37.5764547 126.9362736),9
6266,까페화이트랩,37.566396000000005,126.9840041,3.006658198183798,POINT (37.566396000000005 126.9840041),60
10921,카페리브레,37.5636625,126.9867578,2.942472898293529,POINT (37.5636625 126.9867578),45
3463,소금나무,37.5671519,126.9870388,2.938208096177405,POINT (37.5671519 126.9870388),57
2317,유어디,37.4714085,126.9005814,2.87136960792424,POINT (37.4714085 126.9005814),12
19142,브라운에넘,37.5516849,127.0141043,2.869128515343645,POINT (37.5516849 127.0141043),2
15358,카페3청,37.5867291,126.9815198,2.8290075656868905,POINT (37.5867291 126.9815198),13
11364,경림코퍼레이션,37.594559,126.9909478,2.789339793266405,POINT (37.594559 126.9909478),2
1716,정정,37.5530021,127.0110764,2.780064195629947,POINT (37.5530021 127.0110764),25
6871,컴포즈커피명동이화점,37.5615596,126.9884501,2.778727389029377,POINT (37.5615596 126.9884501),22
16200,동네시민,37.567984,126.9811186,2.733827586896219,POINT (37.567984 126.9811186),65
2608,성곽마을삼층까페,37.5930659,126.9662599,2.728410962811992,POINT (37.5930659 126.9662599),5
19203,플러스카페삼청공원숲속도서관점,37.5879675,126.9840733,2.697676978154226,POINT (37.5879675 126.9840733),5
8606,포네커피하우스,37.6463279,127.0138518,2.6884684083393395,POINT (37.6463279 127.0138518),6
5233,커피마마하늘비전,37.6445454,127.0097281,2.6465850649184426,POINT (37.6445454 127.0097281),11
14512,카페말로덕성,37.6495025,127.0163709,2.637477076339391,POINT (37.6495025 127.0163709),4
17356,투썸플레이스,37.5609509,126.98262920000002,2.612594604581793,POINT (37.5609509 126.98262920000002),39
4528,롯지,37.5787037,126.9338868,2.6026726185749918,POINT (37.5787037 126.9338868),8
2591,숲.O,37.6558099,127.0163897,2.546589763994585,POINT (37.6558099 127.0163897),5
438,럼버잭,37.5932584,126.9635509,2.539787745655646,POINT (37.5932584 126.9635509),7
12434,스트릿넘버502,37.6338071,127.0405064,2.5363797610641536,POINT (37.6338071 127.0405064),6
9317,그로브라운지,37.5526551,127.0191617,2.5310410159980514,POINT (37.5526551 127.0191617),11
17189,커피빈시청역7번출구코리아,37.5636518,126.97715929999998,2.510484341646312,POINT (37.5636518 126.97715929999998),37
1175,쑥다방,37.4527883,126.90884479999998,2.502704613283828,POINT (37.4527883 126.90884479999998),12
20232,블레싱,37.6076787,127.0518623,2.4705133838517424,POINT (37.6076787 127.0518623),9
2577,바리스타카페,37.5609531,126.97975420000002,2.4688650961817684,POINT (37.5609531 126.97975420000002),35
10070,꽁다방,37.4498005,126.9082666,2.4381419638302315,POINT (37.4498005 126.9082666),9
12549,아리디,37.5944505,126.9690037,2.4118546650901598,POINT (37.5944505 126.9690037),3
1301,시청광장커피,37.5658462,126.9787593,2.410760252487631,POINT (37.5658462 126.9787593),43
13460,카페아카데미,37.53716370000001,126.86127,2.406529642235604,POINT (37.53716370000001 126.86127),8
5311,엘티커피바,37.4752911,126.8908355,2.3857019728296183,POINT (37.4752911 126.8908355),22
5678,노원문고더숲,37.5859482,126.9642636,2.381261005155934,POINT (37.5859482 126.9642636),1
17268,커피빈소공동삼화빌딩점코리아,37.5641548,126.98114809999998,2.336620169593711,POINT (37.5641548 126.98114809999998),30
2670,은하수,37.5405616,126.864183,2.317593544249058,POINT (37.5405616 126.864183),15
7390,문화공간작은집,37.5512882,127.0044106,2.2756274945185675,POINT (37.5512882 127.0044106),2
15906,메리고라운드,37.5354536,126.858671,2.268584168401288,POINT (37.5354536 126.858671),9
12496,좋은이름.좋은카페,37.5482608,127.0173407,2.2579676189619637,POINT (37.5482608 127.0173407),6
6748,푸른초장쉴만한물가,37.5943203,126.99465390000002,2.248128490745758,POINT (37.5943203 126.99465390000002),8
15351,북촌원카페,37.5815274,126.9843419,2.233877616219797,POINT (37.5815274 126.9843419),24
7878,빽다방,37.555694,127.0108145,2.214772313418224,POINT (37.555694 127.0108145),31
7054,콩코드커피,37.5603025,126.9764128,2.2110890820778684,POINT (37.5603025 126.9764128),50
17624,북악팔각정하늘레스토랑.해오름.커피하우스,37.601966100000006,126.9805307,2.1670239373181888,POINT (37.601966100000006 126.9805307),2
4113,시노라,37.586242600000006,126.970102,2.163228790179641,POINT (37.586242600000006 126.970102),8
6602,카페보헤이,37.55543529999999,127.0078979,2.1616461320447997,POINT (37.55543529999999 127.0078979),15
2999,카페1번가,37.5865901,126.9748301,2.1546118411346598,POINT (37.5865901 126.9748301),1
12670,카페그루터기,37.54680820000001,127.0149493,2.1370296567766034,POINT (37.54680820000001 127.0149493),6
9276,카페일월십일,37.537858,126.8641335,2.132691496721089,POINT (37.537858 126.8641335),17
6227,매머드익스프레스내수동점,37.5725817,126.9720335,2.131626315918994,POINT (37.5725817 126.9720335),56
1507,자유인들,37.55101679999999,126.9241751,2.1273992434366686,POINT (37.55101679999999 126.9241751),61
11962,마룬여유,37.5736282,126.9365855,2.126450197554924,POINT (37.5736282 126.9365855),3
10203,잼아웃,37.6039366,127.0605283,2.1250208720110946,POINT (37.6039366 127.0605283),6
5595,헤렌디커피,37.5537141,127.0219094,2.1013277834762074,POINT (37.5537141 127.0219094),12
9922,케이스팟수국전망대카페,37.5575378,126.9765864,2.094459511469106,POINT (37.5575378 126.9765864),41
17895,아이빅쓰리커피엔드케이스,37.6467654,127.0176875,2.082827782201203,POINT (37.6467654 127.0176875),6
20959,피에스타7커피남성역점,37.4838079,126.9706957,2.076066829096881,POINT (37.4838079 126.9706957),20
4224,유니온,37.637944700000006,127.0407365,2.043300260817192,POINT (37.637944700000006 127.0407365),7
9265,구립장애인내일키움직업교육센터오름카페,37.5795432,126.9380525,2.037439735012039,POINT (37.5795432 126.9380525),8
4897,이야기,37.6324389,127.0429033,2.0271714651222124,POINT (37.6324389 127.0429033),6
12977,"그,커피가게",37.4590864,126.9058936,2.0091861185942217,POINT (37.4590864 126.9058936),6
17489,커피빈국기원상사거리점,37.4961402,127.032149,1.9995925686526423,POINT (37.4961402 127.032149),50
7924,이유씨,37.5498115,127.0077461,1.9988626242980347,POINT (37.5498115 127.0077461),8
8535,리모트remote,37.5396225,126.8667885,1.99157415945741,POINT (37.5396225 126.8667885),14
685,투썸플레이스,37.55222,127.0242942,1.9900648994490835,POINT (37.55222 127.0242942),8
20552,메가엠지씨커피서대문구청사거리점,37.5812982,126.9358311,1.96382795104318,POINT (37.5812982 126.9358311),8
7650,하이디하우스,37.5544211,127.0051611,1.9446079377358725,POINT (37.5544211 127.0051611),1
9142,뿌리온더플레이트,37.5798708,126.9865948,1.9348714309538773,POINT (37.5798708 126.9865948),39
18956,숲속카페브런치,37.629569700000005,127.0390881,1.929050921356292,POINT (37.629569700000005 127.0390881),7
6988,서울사당1호점,37.4851079,126.96788490000002,1.923473879822097,POINT (37.4851079 126.96788490000002),13
6985,투영프로젝숀,37.618901,126.9989446,1.9173340340146383,POINT (37.618901 126.9989446),1
15741,커피하우스,37.4675971,126.8880666,1.9162306240723213,POINT (37.4675971 126.8880666),28
10403,"THEPIANOWASDRKG,NOTME",37.617261,126.9747829,1.900589956465944,POINT (37.617261 126.9747829),1
19011,체리시,37.5549849,126.9275247,1.889690815250627,POINT (37.5549849 126.9275247),104
5889,네이버후드,37.6007126,126.9951115,1.8883356548091497,POINT (37.6007126 126.9951115),1
2619,희서커피,37.6777834,127.0313133,1.8864614937736863,POINT (37.6777834 127.0313133),1
3009,달,37.5838054,126.98205790000002,1.8840406893937596,POINT (37.5838054 126.98205790000002),26
14876,협동플랫폼카페이웃,37.579976,126.9281173,1.884000344423404,POINT (37.579976 126.9281173),4
2942,99밀크티,37.5536838,126.9251553,1.8761028997819864,POINT (37.5536838 126.9251553),108
11817,일쩜오플로어커피,37.560841700000005,126.9255505,1.853435760090218,POINT (37.560841700000005 126.9255505),138
5075,애즈웰커피,37.5388265,127.0480954,1.8517404316363133,POINT (37.5388265 127.0480954),18
20360,플러스82서울성북점,37.6103402,127.0522929,1.8223618503963592,POINT (37.6103402 127.0522929),7
8809,모노프,37.4650903,126.9042574,1.8142513820807744,POINT (37.4650903 126.9042574),8
14735,일상,37.5930714,126.9971846,1.81392270296867,POINT (37.5930714 126.9971846),8
14650,항구도시연구소,37.5437575,127.0154082,1.8117697575622285,POINT (37.5437575 127.0154082),12
8729,이디야커피논골,37.5555193,127.0244663,1.8115196780313256,POINT (37.5555193 127.0244663),5
4598,팔공티,37.620681,127.0586638,1.8082877807631903,POINT (37.620681 127.0586638),20
2403,"또,카페",37.53497120000001,126.86377,1.802660909147652,POINT (37.53497120000001 126.86377),17
532,무소식,37.5506261,126.9208534,1.7983808896309197,POINT (37.5506261 126.9208534),125
14256,펠리체,37.6173366,127.0025337,1.7894647164846331,POINT (37.6173366 127.0025337),4
1488,역전,37.6031938,127.06684579999998,1.7893177807520295,POINT (37.6031938 127.06684579999998),4
135,아임그린떡케이크하우스,37.5923224,126.9928237,1.7731528950449107,POINT (37.5923224 126.9928237),5
560,다락방이야기,37.5824204,126.92543290000002,1.764528416676225,POINT (37.5824204 126.92543290000002),16
2108,오버스토리,37.5986964,126.9996005,1.764306647048655,POINT (37.5986964 126.9996005),1
17593,더카페하임즈본점,37.60028870000001,127.0573127,1.764129047170515,POINT (37.60028870000001 127.0573127),20
4835,릴리엔,37.6010939,127.0622402,1.7598131421016137,POINT (37.6010939 127.0622402),5
10031,페이지1.커피앤디저트,37.4865928,126.9718108,1.7559724930344591,POINT (37.4865928 126.9718108),11
7519,노아스로스팅,37.5714328,126.93493,1.739781472729576,POINT (37.5714328 126.93493),7
19534,이커피,37.458034000000005,126.9022015,1.7373696334695443,POINT (37.458034000000005 126.9022015),3
5865,굿프랜드,37.4928009,126.9697241,1.7362931607590326,POINT (37.4928009 126.9697241),2
4181,모제커피,37.4984695,127.03051299999998,1.728142309285905,POINT (37.4984695 127.03051299999998),72
6354,하프노트,37.5628385,126.9231901,1.7237791906992876,POINT (37.5628385 126.9231901),130
9762,윌로커피,37.5453192,127.0179112,1.7220709565743038,POINT (37.5453192 127.0179112),4
9031,이알커피연희,37.5764424,126.9309303,1.7048742316656609,POINT (37.5764424 126.9309303),4
11866,커피로이트&스토리,37.5376263,127.045644,1.6981453525579937,POINT (37.5376263 127.045644),3
2910,봉제산아래커피집,37.5375727,126.853264,1.6899741858754311,POINT (37.5375727 126.853264),2
4690,4콤마2,37.607532,127.0470733,1.6693500668037808,POINT (37.607532 127.0470733),4
11524,카페러빈,37.6020059,126.9491148,1.6662431768312336,POINT (37.6020059 126.9491148),6
10360,가회한경헌,37.5831954,126.986561,1.6607134190415884,POINT (37.5831954 126.986561),16
16358,카페온실,37.4747396,126.8848969,1.646977102193982,POINT (37.4747396 126.8848969),17
6538,브로트짜이트,37.53538629999999,126.855436,1.644545574544762,POINT (37.53538629999999 126.855436),5
8079,윌빈Willbean,37.609033200000006,127.0556053,1.6396964817488753,POINT (37.609033200000006 127.0556053),10
16659,"카페,멀스",37.4520844,126.911658,1.639153856187065,POINT (37.4520844 126.911658),7
5411,프라트룸,37.5413854,127.0492058,1.634027861037276,POINT (37.5413854 127.0492058),22
11746,영커피가산이앤씨7점,37.4800493,126.8870793,1.6324884029228903,POINT (37.4800493 126.8870793),31
5849,보드레안다미로,37.5814424,126.9807541,1.6290996771910238,POINT (37.5814424 126.9807541),31
4913,카페샘,37.6055604,127.0450598,1.6242119585159238,POINT (37.6055604 127.0450598),10
20554,커피에반하다명지대점,37.5797377,126.92470159999998,1.6166574274341503,POINT (37.5797377 126.92470159999998),32
9629,24시무인카페만월경,37.462378,126.9091124,1.6138318971867702,POINT (37.462378 126.9091124),4
5018,이디야커피북촌,37.57930579999999,126.9827078,1.599033609070297,POINT (37.57930579999999 126.9827078),29
18202,써니카페,37.5992488,126.9491196,1.594426956498679,POINT (37.5992488 126.9491196),14
12287,만월경,37.6457665,127.0531121,1.5907536558032251,POINT (37.6457665 127.0531121),2
6366,콜롬비아퍼펙토,37.4776079,126.8890376,1.587497724592322,POINT (37.4776079 126.8890376),22
1156,커피익스프레스,37.59629279999999,126.9643354,1.569208099066539,POINT (37.59629279999999 126.9643354),5
5967,샵,37.5327405,126.8576375,1.5682152447354896,POINT (37.5327405 126.8576375),15
10140,아르누보,37.574163,127.0715327,1.5623230754574506,POINT (37.574163 127.0715327),22
5100,브루밸류,37.607510600000005,127.0578784,1.560276012212242,POINT (37.607510600000005 127.0578784),14
18147,북카페강남1호점,37.5008723,127.0290456,1.55695581325452,POINT (37.5008723 127.0290456),63
4410,병아리콩,37.6495314,127.0230905,1.5568541003533385,POINT (37.6495314 127.0230905),4
16011,투썸플레이스옥수역점,37.5418407,127.0178663,1.5550927227059157,POINT (37.5418407 127.0178663),8
14995,뉴욕,37.638310100000005,127.0380351,1.55025216857253,POINT (37.638310100000005 127.0380351),20
13832,도토루커피OS,37.5421662,127.05218329999998,1.547911454841848,POINT (37.5421662 127.05218329999998),27
18602,위트에스프레소바,37.5388701,127.0512745,1.5432281007452393,POINT (37.5388701 127.0512745),12
899,히어,37.5567185,127.013721,1.5431885207030491,POINT (37.5567185 127.013721),16
3860,아마도<AMADO>,37.5428689,126.8623827,1.532000922504416,POINT (37.5428689 126.8623827),6
7288,카페마루,37.4765436,126.8784371,1.5292289383823778,POINT (37.4765436 126.8784371),34
4583,하우스,37.55849129999999,127.0037941,1.5287497432771269,POINT (37.55849129999999 127.0037941),7
